url_id,Second,Actions_id
oD_wxyTHJ2I,902,[14 17 35]
oD_wxyTHJ2I,903,[14 17]
oD_wxyTHJ2I,904,[14]
oD_wxyTHJ2I,905,[14]
oD_wxyTHJ2I,906,[14 17]
oD_wxyTHJ2I,907,[14 17]
oD_wxyTHJ2I,908,[10 17]
oD_wxyTHJ2I,909,[10]
oD_wxyTHJ2I,910,[10]
oD_wxyTHJ2I,911,[10]
oD_wxyTHJ2I,912,[10]
oD_wxyTHJ2I,918,[14]
oD_wxyTHJ2I,924,[12 17 49]
oD_wxyTHJ2I,928,[14]
oD_wxyTHJ2I,937,[14 17 80]
oD_wxyTHJ2I,938,[12]
oD_wxyTHJ2I,939,[12]
oD_wxyTHJ2I,942,[12 79]
oD_wxyTHJ2I,943,[12 17 79]
oD_wxyTHJ2I,944,[12 17 79]
oD_wxyTHJ2I,945,[12 17 79]
oD_wxyTHJ2I,947,[12 17 79]
oD_wxyTHJ2I,948,[12 79]
oD_wxyTHJ2I,949,[12 79]
oD_wxyTHJ2I,950,[12 79]
oD_wxyTHJ2I,951,[12 79]
oD_wxyTHJ2I,962,[12 79]
oD_wxyTHJ2I,963,[12 79 80]
oD_wxyTHJ2I,968,[12 17]
oD_wxyTHJ2I,969,[12 17]
oD_wxyTHJ2I,970,[12 17]
oD_wxyTHJ2I,973,[10 17]
oD_wxyTHJ2I,974,[10 17]
oD_wxyTHJ2I,975,[10 17]
oD_wxyTHJ2I,976,[14 17]
oD_wxyTHJ2I,977,[14 17 79]
oD_wxyTHJ2I,978,[14 17 79]
oD_wxyTHJ2I,979,[14 17 79]
oD_wxyTHJ2I,983,[12 79 80]
oD_wxyTHJ2I,990,[12 79 80]
oD_wxyTHJ2I,993,[12 79]
oD_wxyTHJ2I,994,[11 79]
oD_wxyTHJ2I,995,[12 79 80]
oD_wxyTHJ2I,998,[12 79 80]
oD_wxyTHJ2I,999,[12 79]
oD_wxyTHJ2I,1003,[12 74]
oD_wxyTHJ2I,1004,[12 74 80]
oD_wxyTHJ2I,1005,[12 74 80]
oD_wxyTHJ2I,1022,[11 17 28 59]
oD_wxyTHJ2I,1028,[11 17 74]
oD_wxyTHJ2I,1044,[11 28]
oD_wxyTHJ2I,1045,[11 28]
oD_wxyTHJ2I,1046,[11 28]
oD_wxyTHJ2I,1047,[11 28]
oD_wxyTHJ2I,1048,[11 28]
oD_wxyTHJ2I,1085,[12 22 46]
oD_wxyTHJ2I,1090,[14 38]
oD_wxyTHJ2I,1094,[14]
oD_wxyTHJ2I,1097,[14 79]
oD_wxyTHJ2I,1098,[11]
oD_wxyTHJ2I,1107,[12 14 38]
oD_wxyTHJ2I,1115,[12 17 22]
oD_wxyTHJ2I,1116,[14 17]
oD_wxyTHJ2I,1117,[14 17]
oD_wxyTHJ2I,1118,[14 17]
oD_wxyTHJ2I,1119,[14 17]
oD_wxyTHJ2I,1120,[14 17]
oD_wxyTHJ2I,1123,[11 17 80]
oD_wxyTHJ2I,1124,[11 17]
oD_wxyTHJ2I,1125,[11 17 80]
oD_wxyTHJ2I,1131,[11 59 74 80]
oD_wxyTHJ2I,1132,[11 80]
oD_wxyTHJ2I,1133,[11]
oD_wxyTHJ2I,1142,[11 17 70]
oD_wxyTHJ2I,1145,[11 80]
oD_wxyTHJ2I,1146,[11 74 80]
oD_wxyTHJ2I,1149,[11 59 80]
oD_wxyTHJ2I,1152,[6]
oD_wxyTHJ2I,1161,[11 79]
oD_wxyTHJ2I,1162,[11 79]
oD_wxyTHJ2I,1163,[11 79]
oD_wxyTHJ2I,1164,[11]
oD_wxyTHJ2I,1167,[11]
oD_wxyTHJ2I,1197,[11]
oD_wxyTHJ2I,1228,[14 17]
oD_wxyTHJ2I,1229,[14 17 38]
oD_wxyTHJ2I,1230,[ 1 17 38]
oD_wxyTHJ2I,1231,[11 38]
oD_wxyTHJ2I,1232,[11]
oD_wxyTHJ2I,1237,[11 28]
oD_wxyTHJ2I,1238,[11 28]
oD_wxyTHJ2I,1247,[11 79 80]
oD_wxyTHJ2I,1257,[11 79]
oD_wxyTHJ2I,1262,[11 79 80]
oD_wxyTHJ2I,1285,[11 74 80]
oD_wxyTHJ2I,1286,[11 74 80]
oD_wxyTHJ2I,1287,[11 74]
oD_wxyTHJ2I,1288,[11 74]
oD_wxyTHJ2I,1289,[11 79 80]
oD_wxyTHJ2I,1290,[11 79]
oD_wxyTHJ2I,1291,[11 79]
oD_wxyTHJ2I,1292,[11 79]
oD_wxyTHJ2I,1293,[11 79]
oD_wxyTHJ2I,1294,[11 79]
oD_wxyTHJ2I,1295,[11 79 80]
oD_wxyTHJ2I,1296,[11 79 80]
oD_wxyTHJ2I,1297,[11 74]
oD_wxyTHJ2I,1298,[11]
oD_wxyTHJ2I,1299,[11 79]
oD_wxyTHJ2I,1300,[11 79]
oD_wxyTHJ2I,1301,[11 79]
oD_wxyTHJ2I,1302,[11 79]
oD_wxyTHJ2I,1303,[11 79]
oD_wxyTHJ2I,1304,[11 79]
oD_wxyTHJ2I,1305,[11 79]
oD_wxyTHJ2I,1306,[11 79]
oD_wxyTHJ2I,1307,[11 80]
oD_wxyTHJ2I,1308,[11]
oD_wxyTHJ2I,1309,[11]
oD_wxyTHJ2I,1310,[11]
oD_wxyTHJ2I,1311,[11 80]
oD_wxyTHJ2I,1312,[11 80]
oD_wxyTHJ2I,1313,[11 80]
oD_wxyTHJ2I,1320,[11 80]
oD_wxyTHJ2I,1321,[11]
oD_wxyTHJ2I,1322,[11]
oD_wxyTHJ2I,1469,[11 74 80]
oD_wxyTHJ2I,1495,[11 80]
oD_wxyTHJ2I,1515,[12 72]
oD_wxyTHJ2I,1522,[70  8]
oD_wxyTHJ2I,1528,[12 17 79]
oD_wxyTHJ2I,1529,[12 17 79]
oD_wxyTHJ2I,1530,[12 79]
oD_wxyTHJ2I,1531,[14]
oD_wxyTHJ2I,1532,[14]
oD_wxyTHJ2I,1533,[14]
oD_wxyTHJ2I,1534,[12 79]
oD_wxyTHJ2I,1535,[12 79]
oD_wxyTHJ2I,1536,[12 79]
oD_wxyTHJ2I,1537,[12]
oD_wxyTHJ2I,1538,[12]
oD_wxyTHJ2I,1539,[12]
oD_wxyTHJ2I,1547,[12]
oD_wxyTHJ2I,1548,[12]
oD_wxyTHJ2I,1549,[12]
oD_wxyTHJ2I,1550,[12]
oD_wxyTHJ2I,1559,[11 28]
oD_wxyTHJ2I,1560,[11 28]
oD_wxyTHJ2I,1561,[11 28]
oD_wxyTHJ2I,1562,[11 28]
oD_wxyTHJ2I,1563,[11 28]
oD_wxyTHJ2I,1564,[12 17 46]
oD_wxyTHJ2I,1565,[12 17 46]
oD_wxyTHJ2I,1566,[12 17]
oD_wxyTHJ2I,1567,[17  7]
oD_wxyTHJ2I,1568,[17  7]
oD_wxyTHJ2I,1569,[12 17 80]
oD_wxyTHJ2I,1570,[11 80]
oD_wxyTHJ2I,1571,[11]
oD_wxyTHJ2I,1572,[11]
oD_wxyTHJ2I,1573,[11 80]
oD_wxyTHJ2I,1574,[12 17]
oD_wxyTHJ2I,1575,[12 17]
oD_wxyTHJ2I,1576,[12]
oD_wxyTHJ2I,1577,[12]
oD_wxyTHJ2I,1619,[ 8 80]
oD_wxyTHJ2I,1620,[74  8 80]
oD_wxyTHJ2I,1624,[70 79  8]
oD_wxyTHJ2I,1626,[79  8 80]
oD_wxyTHJ2I,1632,[ 8 80]
oD_wxyTHJ2I,1633,[79  8]
oD_wxyTHJ2I,1635,[79  8 80]
oD_wxyTHJ2I,1638,[79  8 80]
oD_wxyTHJ2I,1639,[79  8]
oD_wxyTHJ2I,1648,[11]
oD_wxyTHJ2I,1649,[11 74]
oD_wxyTHJ2I,1651,[11 59]
oD_wxyTHJ2I,1652,[11 17]
oD_wxyTHJ2I,1653,[11 17]
oD_wxyTHJ2I,1657,[11 17 80]
oD_wxyTHJ2I,1658,[11 17]
oD_wxyTHJ2I,1661,[11 17 79]
oD_wxyTHJ2I,1662,[11 17 79]
oD_wxyTHJ2I,1667,[11 17 80]
oD_wxyTHJ2I,1668,[11 17]
oD_wxyTHJ2I,1669,[ 1 17]
oD_wxyTHJ2I,1689,[11 17 59 79]
oD_wxyTHJ2I,1691,[11 59]
oD_wxyTHJ2I,1692,[11 34]
oD_wxyTHJ2I,1694,[14 17 29]
oD_wxyTHJ2I,1697,[12 17 29]
oD_wxyTHJ2I,1700,[12 17 79]
oD_wxyTHJ2I,1701,[12 79]
oD_wxyTHJ2I,1706,[14 17 79]
oD_wxyTHJ2I,1707,[14 17 79]
oD_wxyTHJ2I,1708,[14 17 79]
oD_wxyTHJ2I,1715,[11 78]
oD_wxyTHJ2I,1716,[11 74]
oD_wxyTHJ2I,1719,[14]
oD_wxyTHJ2I,1720,[14]
oD_wxyTHJ2I,1721,[11]
